id_entidad,periodo,var_score_riesgo,var_ratio_endeudamiento,var_meses_antiguedad,var_utilizacion_linea,var_n_atrasos_12m,var_monto_deuda,var_ingreso_estimado,var_no_monotona,var_fija_entidad,var_inestable_tiempo,cat_sector,cat_region,cat_segmento,cat_alta_cardinalidad,var_constante,var_casi_constante,var_cv_bajo,var_muchos_ceros,var_muchos_nulos,var_ruido_1,var_ruido_2,var_ruido_3,var_ruido_4,var_ruido_5,var_clon_score,var_combinacion_lineal,var_fuga,var_texto_numerico
ENT_0001,2023-01,563.7927394394794,0.4226424217148337,29.066299801731773,0.3840289685958181,0,27175.688236538303,350317.3360749583,-0.5967908451763992,120.04516130736886,0.2433851727910162,SERVICIOS,CENTRO,PREMIUM,SUC_147,7.0,1,999999.9993550202,0.0,,-1.23451081742956,0.3612228563438998,0.9492531116936458,-1.3406519185504169,2.876535952282952,573.1722336949273,0.401630342124311,-0.2342973148795959,27.18
ENT_0001,2023-02,569.2024272016898,0.3110971394341611,30.066299801731773,0.6754104385194502,0,9092.40677984631,310876.9718526898,1.7724731291386195,120.04516130736886,0.0421189397979963,SERVICIOS,CENTRO,PREMIUM,SUC_001,7.0,1,999999.99201571,0.0,,-0.84441737882366,2.064742098809321,-0.3848813441952703,-0.1760398647051085,1.3822584123703594,581.6782226987616,0.4500188258917372,-0.1165917888820326,9.09
ENT_0001,2023-03,580.7962366707013,0.4844532432397685,31.066299801731773,0.3140184606186043,0,11348.169543325426,330307.78689231985,-0.2037035818884774,120.04516130736886,0.7080330643332757,SERVICIOS,CENTRO,PREMIUM,SUC_026,7.0,1,999999.999732994,0.0,,0.1271815608728267,-0.0681039364052788,-0.7071022346895677,1.267265706562934,2.3372937326007714,592.0998764781411,0.4371188092049343,-0.0219613307295171,11.35
ENT_0001,2023-04,546.4394954796516,0.4343520910221577,32.06629980173177,0.7074731110554591,0,10768.392350527043,,1.0299954855499358,120.04516130736886,0.5956769660165108,SERVICIOS,NORTE,PREMIUM,SUC_098,7.0,1,1000000.0084692148,0.0,,1.9587336768195005,-0.5862807418872101,-1.0627031336243382,0.1598837081199668,-1.064796244363098,556.6392123535333,0.5417633734594273,0.1929284943794238,10.77
ENT_0001,2023-05,565.3122061785687,0.4068961055671439,33.06629980173177,0.2816619722804424,2,26382.146344712564,328202.1659889703,-1.261764870279438,120.04516130736886,1.6959373523337955,SERVICIOS,CENTRO,PREMIUM,SUC_144,7.0,1,1000000.0057376578,0.0,67.97977833116099,0.4418530876589762,-0.886419888079003,0.1746888979642387,-0.1027427673050117,1.255060529598302,575.9850635168788,0.346176672546618,0.2235788029804297,26.38
ENT_0001,2023-06,541.6370549873814,0.5071164156294228,34.06629980173177,0.4407984800111638,2,24970.963199941318,319917.35758665315,0.684006849452033,120.04516130736886,3.1000740861742475,SERVICIOS,CENTRO,PREMIUM,SUC_045,7.0,1,1000000.0075894584,0.0,,0.224582545922997,0.2230880056061853,-0.5808676574689903,1.5339981154300448,0.5483863838965876,554.7795836891805,0.463346472617104,0.0070237201034576,24.97
ENT_0001,2023-07,541.3444706020626,0.4531445957674074,35.06629980173177,0.6275658924209,6,27979.49454173237,292493.77578106395,1.0648696119096497,120.04516130736886,5.128189146990249,SERVICIOS,NORTE,PREMIUM,SUC_131,7.0,1,1000000.0011598098,0.0,,-0.3858673455671795,-0.3999181051717226,-0.2129756519054964,-0.3303876467993351,1.3172136516340542,552.4072986720847,0.5276250133426561,-0.1148806736070906,27.98
ENT_0001,2023-08,561.0210008358677,0.3932527805623977,36.06629980173177,0.5109844426402792,1,11088.745527957495,425561.6468861374,0.2658979692908457,120.04516130736886,1.9457548869939767,SERVICIOS,NORTE,PREMIUM,SUC_138,7.0,1,999999.9627891908,0.0,,-1.0301108702122037,-0.5283756684025737,0.4471318711002238,0.7061604019000783,1.2433371314006232,572.5102166154294,0.4402438164809298,0.0829385452502087,11.09
ENT_0001,2023-09,486.45651550891193,0.61419575415727,37.06629980173177,0.3529661994994654,2,28996.044963822987,219860.72655322336,1.0758981091174606,120.04516130736886,4.866761730979443,SERVICIOS,CENTRO,PREMIUM,SUC_110,7.0,1,1000000.0000129506,0.0,,-0.8641223723240865,0.0145849397907452,0.8878284790928973,0.318588418229034,0.347759819394678,499.3399899628744,0.5206385054907411,-0.0844430011357509,29.0
ENT_0001,2023-10,499.87121658339686,0.4936389533534284,38.06629980173177,0.5621147944460059,0,11046.305656229752,371406.2983035453,-0.7072801615477873,120.04516130736886,4.432805249311635,SERVICIOS,CENTRO,PREMIUM,SUC_119,7.0,1,999999.9725170846,0.0,,-0.7932165566336273,-0.8004908523539012,0.1492173810547674,1.465781475221001,-0.3889832793024909,509.6695967207876,0.5219481347156271,0.2182481738519449,11.05
